Timestamp,Event,Event Description,Event Severity,network_table:///FMSInfo/EventName,network_table:///FMSInfo/FMSControlData,network_table:///FMSInfo/GameSpecificMessage,network_table:///FMSInfo/IsRedAlliance,network_table:///FMSInfo/MatchNumber,network_table:///FMSInfo/MatchType,network_table:///FMSInfo/ReplayNumber,network_table:///FMSInfo/StationNumber,network_table:///LiveWindow/Ungrouped/Talon FX [0]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [1]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [2]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [3]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [4]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [5]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [13]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [14]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [8]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [9]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [10]/Value,network_table:///LiveWindow/Ungrouped/navX-Sensor/Value,network_table:///Shuffleboard/drive/KF,network_table:///Shuffleboard/drive/KI,network_table:///Shuffleboard/drive/KP,network_table:///Shuffleboard/drive/Target RPM,network_table:///SmartDashboard/Shooter KF Feedback,network_table:///SmartDashboard/Shooter KP Feedback,network_table:///SmartDashboard/Shooter RPM Feedback,network_table:///SmartDashboard/left stick:,network_table:///SmartDashboard/right stick:,network_table:///SmartDashboard/shooter1RPM:,network_table:///SmartDashboard/shooter2RPM:,network_table:///SmartDashboard/shooterFalcon1 velocity:,network_table:///SmartDashboard/shooterFalcon2 velocity:,network_table:///SmartDashboard/targetRPM:,network_table:///SmartDashboard/targetUp100ms:
0,,,,,33.0,,true,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.070000171661377,0.045,2.0E-5,0.001,5200.0,0.045,0.001,5200.0,0.0078125,1.0,5305.95703125,5304.4921875,18111.0,18106.0,0.0,0.0
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5305.37109375,,18109.0,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5305.6640625,5305.078125,18110.0,18108.0,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5304.4921875,,18106.0,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5304.78515625,5304.78515625,18107.0,18107.0,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5304.4921875,5305.95703125,18106.0,,,
108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18111.0,,
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5305.078125,5305.95703125,18108.0,18111.0,,
143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5304.19921875,,18105.0,,
164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5306.25,,18112.0,,
184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5304.78515625,,18107.0,,
204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5305.95703125,5305.078125,18111.0,18108.0,,
224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5305.6640625,5303.3203125,18110.0,18102.0,,
244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5303.61328125,5304.78515625,18103.0,18107.0,,
265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5303.90625,,18104.0,,
284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5304.4921875,5302.734375,18106.0,18100.0,,
304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5302.44140625,,,,,
305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5302.1484375,18099.0,18098.0,,
324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5300.68359375,,,,,
325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5301.85546875,18093.0,18097.0,,
345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5302.1484375,,18098.0,,
365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5299.8046875,,18090.0,,
385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5299.51171875,5300.09765625,18089.0,18091.0,,
405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5298.92578125,5298.33984375,18087.0,18085.0,,
429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5300.09765625,,,,
430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18091.0,,
445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5298.6328125,,18086.0,,
465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5299.51171875,,,,
466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18089.0,,
486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5300.68359375,5298.33984375,18093.0,18085.0,,
506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5299.51171875,5300.390625,18089.0,18092.0,,
526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5299.8046875,,18090.0,,
547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5298.6328125,5299.21875,18086.0,18088.0,,
566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5299.51171875,5298.046875,18089.0,18084.0,,
587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5297.4609375,5298.6328125,18082.0,18086.0,,
607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5298.046875,,18084.0,,
627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5294.82421875,5295.703125,18073.0,18076.0,,
650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5294.53125,5295.1171875,18072.0,18074.0,,
667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5293.9453125,,18070.0,,
687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5292.48046875,,,,,
688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18065.0,,,
707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5291.6015625,,,,
708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18062.0,,
728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5291.6015625,,18062.0,,,
