Timestamp,Event,Event Description,Event Severity,network_table:///FMSInfo/FMSControlData,network_table:///LiveWindow/Ungrouped/navX-Sensor/Value,network_table:///SmartDashboard/shooter1RPM:,network_table:///SmartDashboard/shooter2RPM:,network_table:///SmartDashboard/shooterFalcon1 velocity:,network_table:///SmartDashboard/shooterFalcon2 velocity:
0,,,,33.0,-4.369999885559082,0.0,0.0,0.0,0.0
1115,,,,,,,6.4453125,,
1116,,,,,,,,,22.0
1136,,,,,,7.91015625,28.41796875,27.0,97.0
1156,,,,,,31.34765625,66.2109375,107.0,226.0
1176,,,,,,70.01953125,119.23828125,239.0,407.0
1196,,,,,,123.92578125,186.03515625,423.0,635.0
1216,,,,,,192.48046875,,657.0,
1235,,,,,,269.23828125,,,
1236,,,,,,,338.671875,919.0,1156.0
1255,,,,,,344.53125,,,
1256,,,,,,,413.0859375,1176.0,1410.0
1276,,,,,,420.1171875,488.0859375,1434.0,1666.0
1296,,,,,,497.4609375,566.6015625,1698.0,1934.0
1316,,,,,,572.75390625,642.48046875,1955.0,2193.0
1356,,,,,,727.734375,800.09765625,2484.0,2731.0
1377,,,,,,806.25,877.734375,2752.0,2996.0
1396,,,,,,883.30078125,,,
1397,,,,,,,953.61328125,3015.0,3255.0
1418,,,,,,961.5234375,1032.421875,3282.0,3524.0
1437,,,,,,1038.57421875,1108.59375,3545.0,3784.0
1457,,,,,,1115.33203125,1183.88671875,3807.0,4041.0
1477,,,,,,1191.796875,1264.16015625,4068.0,4315.0
1497,,,,,,1270.8984375,1345.3125,4338.0,4592.0
1517,,,,,,1354.1015625,1429.1015625,4622.0,4878.0
1537,,,,,,1436.71875,,,
1538,,,,,,,1513.4765625,4904.0,5166.0
1557,,,,,,1521.97265625,,,
1558,,,,,,,1599.90234375,5195.0,5461.0
1578,,,,,,1606.93359375,1682.8125,5485.0,5744.0
1598,,,,,,1691.015625,1766.30859375,5772.0,6029.0
1618,,,,,,1773.33984375,1849.8046875,6053.0,6314.0
1658,,,,,,1946.77734375,2028.22265625,6645.0,6923.0
1678,,,,,,2038.76953125,2125.48828125,,
1679,,,,,,,,6959.0,7255.0
1698,,,,,,2137.5,,,
1699,,,,,,,2230.6640625,7296.0,7614.0
1723,,,,,,2240.0390625,2343.45703125,7646.0,7999.0
1739,,,,,,2353.7109375,2462.40234375,8034.0,8405.0
1759,,,,,,2473.828125,2589.2578125,8444.0,8838.0
1779,,,,,,2601.26953125,2719.04296875,8879.0,9281.0
1801,,,,,,2729.58984375,2848.2421875,9317.0,9722.0
1819,,,,,,2861.1328125,2974.21875,,
1820,,,,,,,,9766.0,10152.0
1840,,,,,,2986.23046875,3096.38671875,10193.0,10569.0
1860,,,,,,3106.93359375,3212.109375,10605.0,10964.0
1880,,,,,,3223.2421875,3324.0234375,11002.0,11346.0
1900,,,,,,3334.5703125,3432.12890625,11382.0,11715.0
1920,,,,,,3441.796875,3534.66796875,11748.0,12065.0
1940,,,,,,3544.921875,3633.69140625,12100.0,12403.0
1961,,,,,,3643.06640625,3728.61328125,12435.0,12727.0
1981,,,,,,3737.6953125,3820.3125,12758.0,13040.0
2002,,,,,,3827.9296875,,,
2003,,,,,,,3906.73828125,13066.0,13335.0
2021,,,,,,3914.6484375,3990.52734375,13362.0,13621.0
2041,,,,,,3998.14453125,4070.80078125,13647.0,13895.0
2061,,,,,,4078.41796875,,,
2062,,,,,,,4147.8515625,13921.0,14158.0
2081,,,,,,4155.17578125,,,
2082,,,,,,,4221.97265625,14183.0,14411.0
2105,,,,,,4229.00390625,4291.9921875,14435.0,14650.0
2122,,,,,,4300.48828125,4360.83984375,14679.0,14885.0
2142,,,,,-4.380000114440918,4367.28515625,4425.0,14907.0,15104.0
2162,,,,,-4.369999885559082,4432.6171875,4488.8671875,15130.0,15322.0
2182,,,,,,4493.26171875,4546.58203125,,
2183,,,,,,,,15337.0,15519.0
2202,,,,,,4553.3203125,4606.34765625,15542.0,15723.0
2224,,,,,,4609.27734375,4660.546875,15733.0,15908.0
2263,,,,,,4717.96875,4765.4296875,16104.0,16266.0
2283,,,,,,4770.1171875,4814.6484375,16282.0,16434.0
2305,,,,,,4818.75,4861.81640625,16448.0,16595.0
2323,,,,,,4866.2109375,4907.2265625,16610.0,16750.0
2343,,,,,,4911.328125,4950.29296875,16764.0,16897.0
2363,,,,,,4955.56640625,,,
2364,,,,,-4.380000114440918,,4992.7734375,16915.0,17042.0
2383,,,,,,4996.2890625,,,
2384,,,,,,,5034.66796875,17054.0,17185.0
2404,,,,,-4.369999885559082,5037.01171875,5072.4609375,17193.0,17314.0
2424,,,,,,5076.85546875,5109.66796875,17329.0,17441.0
2444,,,,,,5114.0625,5147.4609375,17456.0,17570.0
2464,,,,,,5148.33984375,5180.56640625,17573.0,17683.0
2484,,,,,,5184.375,5213.671875,17696.0,
2485,,,,,,,,,17796.0
2526,,,,,,5249.70703125,5278.125,17919.0,18016.0
2546,,,,,,5278.41796875,,,
2547,,,,,,,5306.25,18017.0,18112.0
2565,,,,,,5309.765625,5335.25390625,18124.0,18211.0
2585,,,,,,5337.59765625,5362.20703125,18219.0,18303.0
2605,,,,,,5365.13671875,5388.8671875,18313.0,18394.0
2627,,,,,,5391.2109375,5414.0625,18402.0,18480.0
2645,,,,,,5416.69921875,,,
2646,,,,,,,5438.37890625,18489.0,18563.0
2666,,,,,,5440.4296875,5461.5234375,18570.0,18642.0
2686,,,,,,5464.453125,5484.9609375,18652.0,18722.0
2726,,,,,,5507.2265625,5525.68359375,18798.0,18861.0
2746,,,,,,5529.78515625,5546.484375,18875.0,18932.0
2767,,,,,,5549.12109375,,18941.0,
2786,,,,,,5566.9921875,5584.86328125,19002.0,19063.0
2807,,,,,,5586.328125,5603.61328125,19068.0,19127.0
2826,,,,,,5605.37109375,5621.77734375,19133.0,19189.0
2847,,,,,,5622.0703125,5638.76953125,19190.0,19247.0
2867,,,,,,5639.94140625,5653.41796875,19251.0,19297.0
2887,,,,,,5656.93359375,5669.53125,19309.0,19352.0
2907,,,,,,5673.046875,5685.05859375,19364.0,19405.0
2928,,,,,,5687.40234375,,19413.0,
2949,,,,,,5701.46484375,5715.234375,19461.0,19508.0
2968,,,,,,5715.52734375,5729.8828125,19509.0,19558.0
2988,,,,,,5729.00390625,5743.06640625,19555.0,19603.0
3007,,,,,,5742.1875,5755.95703125,19600.0,19647.0
3027,,,,,,5755.6640625,,,
