Timestamp,Event,Event Description,Event Severity,network_table:///FMSInfo/EventName,network_table:///FMSInfo/FMSControlData,network_table:///FMSInfo/GameSpecificMessage,network_table:///FMSInfo/IsRedAlliance,network_table:///FMSInfo/MatchNumber,network_table:///FMSInfo/MatchType,network_table:///FMSInfo/ReplayNumber,network_table:///FMSInfo/StationNumber,network_table:///LiveWindow/Ungrouped/Talon FX [0]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [1]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [2]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [3]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [4]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [5]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [13]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [14]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [8]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [9]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [11]/Value,network_table:///LiveWindow/Ungrouped/navX-Sensor/Value,network_table:///Shuffleboard/drive/Feeder % req,network_table:///Shuffleboard/drive/KF,network_table:///Shuffleboard/drive/KI,network_table:///Shuffleboard/drive/KP,network_table:///SmartDashboard/Shooter KF Feedback,network_table:///SmartDashboard/Shooter KP Feedback,network_table:///SmartDashboard/Shooter RPM Feedback,network_table:///SmartDashboard/feedPercentReqFB:,network_table:///SmartDashboard/left stick:,network_table:///SmartDashboard/right stick:,network_table:///SmartDashboard/shooter1RPM:,network_table:///SmartDashboard/shooter2RPM:,network_table:///SmartDashboard/shooterFalcon1 velocity:,network_table:///SmartDashboard/shooterFalcon2 velocity:,network_table:///SmartDashboard/targetRPM:,network_table:///SmartDashboard/targetUp100ms:
0,,,,,33.0,,true,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9800000190734863,0.7,0.047,2.0E-5,0.0015,0.047,0.0015,5200.0,0.7,0.0078125,0.0078125,186.9140625,60.64453125,217.0,207.0,0.0,0.0
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6038.671875,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20612.0,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6034.27734375,6036.9140625,20597.0,20606.0,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6032.2265625,6032.8125,20590.0,20592.0,,
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6027.5390625,6028.125,20574.0,20576.0,,
114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6025.1953125,6025.78125,20566.0,20568.0,,
134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6022.55859375,,20557.0,,,
154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6020.5078125,,20550.0,,
174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6019.921875,,,,,
175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20548.0,,,
197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6014.6484375,6014.6484375,20530.0,20530.0,,
214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6011.42578125,6011.71875,20519.0,20520.0,,
235,,,,,,,,,,,,,,,,,,,,,,,-0.9599999785423279,,,,,,,,,,,,,,,,
255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6005.2734375,6005.56640625,20498.0,20499.0,,
275,,,,,,,,,,,,,,,,,,,,,,,-0.9700000286102295,,,,,,,,,,,,,,,,
295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5998.53515625,5998.828125,20475.0,20476.0,,
314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5995.3125,,,,
315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20464.0,,
335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5995.01953125,,20463.0,,,
356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5991.50390625,,,,,
357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5991.796875,20451.0,20452.0,,
375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5987.98828125,5987.98828125,20439.0,,,
376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20439.0,,
396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5984.47265625,5984.47265625,20427.0,20427.0,,
415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5980.6640625,5980.6640625,20414.0,20414.0,,
435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5977.44140625,5976.85546875,20403.0,20401.0,,
455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5969.82421875,,20377.0,,,
475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5969.23828125,,,,
476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20375.0,,
496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5962.5,5961.62109375,20352.0,20349.0,,
516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5958.69140625,5957.8125,20339.0,20336.0,,
556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5951.07421875,5953.7109375,20313.0,20322.0,,
576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5950.1953125,,20310.0,,
597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5947.265625,5946.38671875,20300.0,20297.0,,
616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5939.0625,5938.4765625,20272.0,20270.0,,
636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5934.9609375,,,,,
637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20258.0,,,
657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5930.2734375,5930.859375,20242.0,20244.0,,
697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5925.87890625,5923.2421875,20227.0,20218.0,,
717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5921.484375,5919.140625,20212.0,20204.0,,
737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5917.3828125,,20198.0,,,
758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5909.765625,5915.0390625,20172.0,20190.0,,
777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5905.6640625,5911.23046875,20158.0,20177.0,,
798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5903.3203125,,20150.0,,
818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5897.75390625,5899.51171875,20131.0,20137.0,,
858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5890.13671875,5890.72265625,20105.0,20107.0,,
899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5883.10546875,5881.93359375,20081.0,20077.0,,
917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5879.296875,5877.83203125,20068.0,20063.0,,
938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5874.90234375,,,,,
939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5873.73046875,20053.0,20049.0,,
959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5870.80078125,,20039.0,,,
979,,,,,,,,,,,,,,,,,,,,,,,-0.9599999785423279,,,,,,,,,,,,5869.921875,,20036.0,,
999,,,,,,,,,,,,,,,,,,,,,,,-0.9700000286102295,,,,,,,,,,,5866.11328125,5866.40625,20023.0,20024.0,,
1019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5857.91015625,5858.49609375,19995.0,19997.0,,
1059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5854.1015625,,,,,
1060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5854.98046875,19982.0,19985.0,,
1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5850.5859375,5850.5859375,19970.0,19970.0,,
1100,,,,,,,,,,,,,,,,,,,,,,,-0.9599999785423279,,,,,,,,,,,5847.36328125,5846.19140625,19959.0,19955.0,,
1121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5839.74609375,5837.98828125,19933.0,19927.0,,
1140,,,,,,,,,,,,,,,,,,,,,,,-0.9700000286102295,,,,,,,,,,,,,,,,
1160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5830.95703125,5831.25,19903.0,19904.0,,
