Timestamp,Event,Event Description,Event Severity,network_table:///FMSInfo/EventName,network_table:///FMSInfo/FMSControlData,network_table:///FMSInfo/GameSpecificMessage,network_table:///FMSInfo/IsRedAlliance,network_table:///FMSInfo/MatchNumber,network_table:///FMSInfo/MatchType,network_table:///FMSInfo/ReplayNumber,network_table:///FMSInfo/StationNumber,network_table:///LiveWindow/Ungrouped/Talon FX [0]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [1]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [2]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [3]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [4]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [5]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [13]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [14]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [8]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [9]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [11]/Value,network_table:///LiveWindow/Ungrouped/navX-Sensor/Value,network_table:///Shuffleboard/drive/Feeder % req,network_table:///Shuffleboard/drive/KF,network_table:///Shuffleboard/drive/KI,network_table:///Shuffleboard/drive/KP,network_table:///SmartDashboard/Shooter KF Feedback,network_table:///SmartDashboard/Shooter KP Feedback,network_table:///SmartDashboard/feedPercentReqFB:,network_table:///SmartDashboard/left stick:,network_table:///SmartDashboard/right stick:,network_table:///SmartDashboard/shooter1RPM:,network_table:///SmartDashboard/shooter2RPM:,network_table:///SmartDashboard/shooterFalcon1 velocity:,network_table:///SmartDashboard/shooterFalcon2 velocity:,network_table:///SmartDashboard/targetRPM:,network_table:///SmartDashboard/targetUp100ms:
0,,,,,33.0,,true,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6100000143051147,0.7,0.047,2.0E-5,0.0015,0.047,0.0015,0.7,0.0078125,0.0390625,0.0,0.0,0.0,0.0,0.0,0.0
805,,,,,,,,,,,,,,,,,,,,,,,-0.6299999952316284,,,,,,,,,,,,,,,
825,,,,,,,,,,,,,,,,,,,,,,,-0.6499999761581421,,,,,,,,,,,,,,,
845,,,,,,,,,,,,,,,,,,,,,,,-0.6600000262260437,,,,,,,,,,,,,,,
885,,,,,,,,,,,,,,,,,,,,,,,-0.6499999761581421,,,,,,,,,,,,,,,
906,,,,,,,,,,,,,,,,,,,,,,,-0.6200000047683716,,,,,,,,,,,,,,,
945,,,,,,,,,,,,,,,,,,,,,,,-0.6100000143051147,,,,,,,,,,,,,,,
1006,,,,,,,,,,,,,,,,,,,,,,,-0.6299999952316284,,,,,,,,,,,,,,,
1086,,,,,,,,,,,,,,,,,,,,,,,-0.6200000047683716,,,,,,,,,,,,,,,
1167,,,,,,,,,,,,,,,,,,,,,,,-0.6299999952316284,,,,,,,,,,,,,,,
1188,,,,,,,,,,,,,,,,,,,,,,,-0.6200000047683716,,,,,,,,,,,,,,,
1388,,,,,,,,,,,,,,,,,,,,,,,-0.6299999952316284,,,,,,,,,,,,,,,
1409,,,,,,,,,,,,,,,,,,,,,,,-0.6200000047683716,,,,,,,,,,,,,,,
1468,,,,,,,,,,,,,,,,,,,,,,,-0.6299999952316284,,,,,,,,,,,,,,,
3138,,,,,,,,,,,,,,,,,,,,,,,-0.6399999856948853,,,,,,,,,,,,,,,
