Timestamp,Event,Event Description,Event Severity,network_table:///FMSInfo/EventName,network_table:///FMSInfo/FMSControlData,network_table:///FMSInfo/GameSpecificMessage,network_table:///FMSInfo/IsRedAlliance,network_table:///FMSInfo/MatchNumber,network_table:///FMSInfo/MatchType,network_table:///FMSInfo/ReplayNumber,network_table:///FMSInfo/StationNumber,network_table:///LiveWindow/Ungrouped/Talon FX [0]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [1]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [2]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [3]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [4]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [5]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [13]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [14]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [8]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [9]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [11]/Value,network_table:///LiveWindow/Ungrouped/navX-Sensor/Value,network_table:///Shuffleboard/drive/Feeder % req,network_table:///Shuffleboard/drive/KF,network_table:///Shuffleboard/drive/KI,network_table:///Shuffleboard/drive/KP,network_table:///Shuffleboard/drive/Target RPM,network_table:///SmartDashboard/Shooter KF Feedback,network_table:///SmartDashboard/Shooter KP Feedback,network_table:///SmartDashboard/Shooter RPM Feedback,network_table:///SmartDashboard/feedPercentReqFB:,network_table:///SmartDashboard/left stick:,network_table:///SmartDashboard/right stick:,network_table:///SmartDashboard/shooter1RPM:,network_table:///SmartDashboard/shooter2RPM:,network_table:///SmartDashboard/shooterFalcon1 velocity:,network_table:///SmartDashboard/shooterFalcon2 velocity:,network_table:///SmartDashboard/targetRPM:,network_table:///SmartDashboard/targetUp100ms:
0,,,,,32.0,,true,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6500000953674316,0.7,0.047,2.0E-5,0.0015,4300.0,0.047,0.0015,4300.0,0.7,0.0078125,0.0390625,0.0,0.0,0.0,0.0,0.0,0.0
131,,,,,,,,,,,,,,,,,,,,,,,-3.6600000858306885,,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,,,,,,,,-3.6500000953674316,,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,,,,,,,,-3.6600000858306885,,,,,,,,,,,,,,,,,
615,,,,,,,,,,,,,,,,,,,,,,,-3.6500000953674316,,,,,,,,,,,,,,,,,
635,,,,,,,,,,,,,,,,,,,,,,,-3.6600000858306885,,,,,,,,,,,,,,,,,
1219,,,,,,,,,,,,,,,,,,,,,,,-3.6500000953674316,,,,,,,,,,,,,,,,,
1239,,,,,,,,,,,,,,,,,,,,,,,-3.6600000858306885,,,,,,,,,,,,,,,,,
1259,,,,,,,,,,,,,,,,,,,,,,,-3.6500000953674316,,,,,,,,,,,,,,,,,
1299,,,,,,,,,,,,,,,,,,,,,,,-3.6600000858306885,,,,,,,,,,,,,,,,,
1339,,,,,,,,,,,,,,,,,,,,,,,-3.6500000953674316,,,,,,,,,,,,,,,,,
1359,,,,,,,,,,,,,,,,,,,,,,,-3.6600000858306885,,,,,,,,,,,,,,,,,
1379,,,,,,,,,,,,,,,,,,,,,,,-3.6500000953674316,,,,,,,,,,,,,,,,,
1439,,,,,,,,,,,,,,,,,,,,,,,-3.6600000858306885,,,,,,,,,,,,,,,,,
1661,,,,,,,,,,,,,,,,,,,,,,,-3.6500000953674316,,,,,,,,,,,,,,,,,
