Timestamp,Event,Event Description,Event Severity,network_table:///FMSInfo/EventName,network_table:///FMSInfo/FMSControlData,network_table:///FMSInfo/GameSpecificMessage,network_table:///FMSInfo/IsRedAlliance,network_table:///FMSInfo/MatchNumber,network_table:///FMSInfo/MatchType,network_table:///FMSInfo/ReplayNumber,network_table:///FMSInfo/StationNumber,network_table:///LiveWindow/Ungrouped/Talon FX [0]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [1]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [2]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [3]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [4]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [5]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [13]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [14]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [8]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [9]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [11]/Value,network_table:///LiveWindow/Ungrouped/navX-Sensor/Value,network_table:///Shuffleboard/drive/Feeder % req,network_table:///Shuffleboard/drive/KF,network_table:///Shuffleboard/drive/KI,network_table:///Shuffleboard/drive/KP,network_table:///Shuffleboard/drive/Target RPM,network_table:///SmartDashboard/Shooter KF Feedback,network_table:///SmartDashboard/Shooter KP Feedback,network_table:///SmartDashboard/Shooter RPM Feedback,network_table:///SmartDashboard/feedPercentReqFB:,network_table:///SmartDashboard/left stick:,network_table:///SmartDashboard/shooter1RPM:,network_table:///SmartDashboard/shooter2RPM:,network_table:///SmartDashboard/shooterFalcon1 velocity:,network_table:///SmartDashboard/shooterFalcon2 velocity:,network_table:///SmartDashboard/targetRPM:,network_table:///SmartDashboard/targetUp100ms:
0,,,,,33.0,,true,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3299999237060547,0.7,0.047,2.0E-5,0.0015,5800.0,0.047,0.0015,5800.0,0.7,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0
984,,,,,,,,,,,,,,,,,,,,,,,-2.3399999141693115,,,,,,,,,,,,,,,,
1206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.42578125,13.4765625,39.0,46.0,,
1226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.72265625,,,,,
1227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.89453125,139.0,143.0,,
1246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.08203125,85.25390625,287.0,291.0,,
1266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.50390625,143.5546875,483.0,490.0,,
1286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.23046875,214.74609375,721.0,733.0,,
1306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.47265625,,,,,
1307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.9375,971.0,976.0,,
1326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.61328125,356.54296875,1207.0,1217.0,,
1346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421.875,425.68359375,1440.0,1453.0,,
1366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489.84375,492.7734375,1672.0,1682.0,,
1386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558.69140625,560.7421875,,,,
1387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1907.0,1914.0,,
1406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624.90234375,,,,,
1407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,627.83203125,2133.0,2143.0,,
1426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,691.40625,,,,,
1427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,694.04296875,2360.0,2369.0,,
1447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,758.7890625,760.25390625,2590.0,2595.0,,
1467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,826.46484375,828.80859375,2821.0,2829.0,,
1487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,895.60546875,898.828125,3057.0,3068.0,,
1507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,967.3828125,968.26171875,3302.0,3305.0,,
1527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1038.28125,1041.2109375,3544.0,3554.0,,
1547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1110.9375,,,,,
1548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1113.8671875,3792.0,3802.0,,
1567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1184.765625,,,,,
1568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1188.57421875,4044.0,4057.0,,
1588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1259.47265625,1262.109375,4299.0,4308.0,,
1608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1336.81640625,1340.91796875,4563.0,4577.0,,
1628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1417.96875,1420.60546875,4840.0,4849.0,,
1648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500.0,1502.9296875,5120.0,5130.0,,
1668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1582.03125,1584.08203125,5400.0,,,
1669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5407.0,,
1688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1664.35546875,1666.11328125,5681.0,5687.0,,
1709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746.09375,1749.0234375,5960.0,5970.0,,
1729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1826.953125,1829.296875,6236.0,6244.0,,
1749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1911.03515625,1914.2578125,6523.0,6534.0,,
1770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002.44140625,2006.8359375,6835.0,6850.0,,
1789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2105.2734375,2108.203125,7186.0,7196.0,,
1809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2215.13671875,2219.82421875,7561.0,7577.0,,
1829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2339.35546875,2344.921875,7985.0,8004.0,,
1850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2470.8984375,2477.05078125,8434.0,8455.0,,
1870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2608.0078125,2612.6953125,8902.0,8918.0,,
1890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2744.23828125,2751.26953125,9367.0,9391.0,,
1910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2881.34765625,2886.328125,9835.0,9852.0,,
1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3012.3046875,3017.578125,10282.0,10300.0,,
1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3140.33203125,3144.140625,10719.0,10732.0,,
1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3263.0859375,3266.015625,11138.0,11148.0,,
1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3379.39453125,3383.203125,11535.0,11548.0,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3492.48046875,3495.41015625,11921.0,11931.0,,
2031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3599.70703125,3602.9296875,12287.0,12298.0,,
2051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3703.125,3705.46875,12640.0,12648.0,,
2071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800.09765625,3804.4921875,12971.0,12986.0,,
2091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3894.7265625,3898.2421875,13294.0,13306.0,,
2112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3985.546875,3988.76953125,13604.0,13615.0,,
2131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4073.14453125,4075.1953125,13903.0,,,
2132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13910.0,,
2152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4154.296875,4157.51953125,14180.0,14191.0,,
2171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4234.27734375,4237.20703125,14453.0,14463.0,,
2192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4310.44921875,4312.5,14713.0,14720.0,,
2212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4382.51953125,4385.7421875,14959.0,14970.0,,
2232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4452.24609375,,,,,
2233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4454.296875,15197.0,15204.0,,
2252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4520.21484375,4523.14453125,15429.0,15439.0,,
2273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4584.9609375,4586.42578125,15650.0,15655.0,,
2295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4645.8984375,4648.53515625,15858.0,15867.0,,
2313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4705.6640625,4707.12890625,16062.0,16067.0,,
2333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4761.62109375,4763.96484375,16253.0,16261.0,,
